provincie,week,aantal,week_volgnr
Zuid-Holland,2020-31,9,31
Zeeland,2020-31,0,31
Noord-Brabant,2020-31,8,31
Limburg,2020-31,3,31
Groningen,2020-32,0,32
Friesland,2020-32,1,32
Drenthe,2020-32,0,32
Overijssel,2020-32,0,32
Flevoland,2020-32,1,32
Gelderland,2020-32,1,32
Utrecht,2020-32,4,32
Noord-Holland,2020-32,15,32
Zuid-Holland,2020-32,13,32
Zeeland,2020-32,0,32
Noord-Brabant,2020-32,6,32
Limburg,2020-32,5,32
Groningen,2020-33,2,33
Friesland,2020-33,1,33
Drenthe,2020-33,4,33
Overijssel,2020-33,2,33
Flevoland,2020-33,6,33
Gelderland,2020-33,6,33
Utrecht,2020-33,4,33
Noord-Holland,2020-33,11,33
Zuid-Holland,2020-33,11,33
Zeeland,2020-33,1,33
Noord-Brabant,2020-33,12,33
Limburg,2020-33,1,33
Groningen,2020-34,1,34
Friesland,2020-34,1,34
Drenthe,2020-34,0,34
Overijssel,2020-34,2,34
Flevoland,2020-34,0,34
Gelderland,2020-34,5,34
Utrecht,2020-34,2,34
Noord-Holland,2020-34,5,34
Zuid-Holland,2020-34,10,34
Zeeland,2020-34,0,34
Noord-Brabant,2020-34,3,34
Limburg,2020-34,3,34
Groningen,2020-35,0,35
Friesland,2020-35,1,35
Drenthe,2020-35,2,35
Overijssel,2020-35,1,35
Flevoland,2020-35,0,35
Gelderland,2020-35,4,35
Utrecht,2020-35,2,35
Noord-Holland,2020-35,7,35
Zuid-Holland,2020-35,6,35
Zeeland,2020-35,2,35
Noord-Brabant,2020-35,18,35
Limburg,2020-35,5,35
Groningen,2020-36,1,36
Friesland,2020-36,0,36
Drenthe,2020-36,0,36
Overijssel,2020-36,2,36
Flevoland,2020-36,1,36
Gelderland,2020-36,10,36
Utrecht,2020-36,5,36
Noord-Holland,2020-36,8,36
Zuid-Holland,2020-36,4,36
Zeeland,2020-36,1,36
Noord-Brabant,2020-36,5,36
Limburg,2020-36,1,36
Groningen,2020-37,0,37
Friesland,2020-37,3,37
Drenthe,2020-37,1,37
Overijssel,2020-37,6,37
Flevoland,2020-37,1,37
Gelderland,2020-37,6,37
Utrecht,2020-37,0,37
Noord-Holland,2020-37,7,37
Zuid-Holland,2020-37,4,37
Zeeland,2020-37,1,37
Noord-Brabant,2020-37,13,37
Limburg,2020-37,4,37
Groningen,2020-38,2,38
Friesland,2020-38,1,38
Drenthe,2020-38,0,38
Overijssel,2020-38,3,38
Flevoland,2020-38,0,38
Gelderland,2020-38,11,38
Utrecht,2020-38,3,38
Noord-Holland,2020-38,10,38
Zuid-Holland,2020-38,9,38
Zeeland,2020-38,1,38
Noord-Brabant,2020-38,15,38
Limburg,2020-38,3,38
Groningen,2020-39,0,39
Friesland,2020-39,5,39
Drenthe,2020-39,6,39
Overijssel,2020-39,5,39
Flevoland,2020-39,0,39
Gelderland,2020-39,11,39
Utrecht,2020-39,1,39
Noord-Holland,2020-39,7,39
Zuid-Holland,2020-39,17,39
Zeeland,2020-39,2,39
Noord-Brabant,2020-39,5,39
Limburg,2020-39,4,39
Groningen,2020-40,1,40
Friesland,2020-40,0,40
Drenthe,2020-40,0,40
Overijssel,2020-40,6,40
Flevoland,2020-40,1,40
Gelderland,2020-40,1,40
Utrecht,2020-40,1,40
Noord-Holland,2020-40,10,40
Zuid-Holland,2020-40,17,40
Zeeland,2020-40,0,40
Noord-Brabant,2020-40,7,40
Limburg,2020-40,3,40
Groningen,2020-41,1,41
Friesland,2020-41,7,41
Drenthe,2020-41,1,41
Overijssel,2020-41,4,41
Flevoland,2020-41,1,41
Gelderland,2020-41,11,41
Utrecht,2020-41,5,41
Noord-Holland,2020-41,6,41
Zuid-Holland,2020-41,8,41
Zeeland,2020-41,0,41
Noord-Brabant,2020-41,6,41
Limburg,2020-41,2,41
Groningen,2020-42,3,42
Friesland,2020-42,0,42
Drenthe,2020-42,0,42
Overijssel,2020-42,0,42
Flevoland,2020-42,0,42
Gelderland,2020-42,8,42
Utrecht,2020-42,6,42
Noord-Holland,2020-42,9,42
Zuid-Holland,2020-42,11,42
Zeeland,2020-42,1,42
Noord-Brabant,2020-42,4,42
Limburg,2020-42,4,42
Groningen,2020-43,0,43
Friesland,2020-43,1,43
Drenthe,2020-43,1,43
Overijssel,2020-43,4,43
Flevoland,2020-43,1,43
Gelderland,2020-43,7,43
Utrecht,2020-43,6,43
Noord-Holland,2020-43,2,43
Zuid-Holland,2020-43,12,43
Zeeland,2020-43,1,43
Noord-Brabant,2020-43,9,43
Limburg,2020-43,2,43
Groningen,2020-44,1,44
Friesland,2020-44,0,44
Drenthe,2020-44,0,44
Overijssel,2020-44,1,44
Flevoland,2020-44,0,44
Gelderland,2020-44,2,44
Utrecht,2020-44,3,44
Noord-Holland,2020-44,9,44
Zuid-Holland,2020-44,10,44
Zeeland,2020-44,1,44
Noord-Brabant,2020-44,12,44
Limburg,2020-44,1,44
Groningen,2020-45,2,45
Friesland,2020-45,2,45
Drenthe,2020-45,3,45
Overijssel,2020-45,6,45
Flevoland,2020-45,1,45
Gelderland,2020-45,9,45
Utrecht,2020-45,3,45
Noord-Holland,2020-45,18,45
Zuid-Holland,2020-45,9,45
Zeeland,2020-45,2,45
Noord-Brabant,2020-45,7,45
Limburg,2020-45,2,45
Groningen,2020-46,1,46
Friesland,2020-46,4,46
Drenthe,2020-46,0,46
Overijssel,2020-46,0,46
Flevoland,2020-46,1,46
Gelderland,2020-46,3,46
Utrecht,2020-46,3,46
Noord-Holland,2020-46,11,46
Zuid-Holland,2020-46,3,46
Zeeland,2020-46,0,46
Noord-Brabant,2020-46,8,46
Limburg,2020-46,6,46
Groningen,2020-47,2,47
Friesland,2020-47,1,47
Drenthe,2020-47,4,47
Overijssel,2020-47,6,47
Flevoland,2020-47,1,47
Gelderland,2020-47,7,47
Utrecht,2020-47,1,47
Noord-Holland,2020-47,14,47
Zuid-Holland,2020-47,11,47
Zeeland,2020-47,0,47
Noord-Brabant,2020-47,9,47
Limburg,2020-47,2,47
Groningen,2020-48,2,48
Friesland,2020-48,0,48
Drenthe,2020-48,0,48
Overijssel,2020-48,2,48
Flevoland,2020-48,5,48
Gelderland,2020-48,5,48
Utrecht,2020-48,6,48
Noord-Holland,2020-48,7,48
Zuid-Holland,2020-48,5,48
Zeeland,2020-48,0,48
Noord-Brabant,2020-48,5,48
Limburg,2020-48,3,48
Groningen,2020-49,0,49
Friesland,2020-49,0,49
Drenthe,2020-49,2,49
Overijssel,2020-49,3,49
Flevoland,2020-49,6,49
Gelderland,2020-49,3,49
Utrecht,2020-49,4,49
Noord-Holland,2020-49,12,49
Zuid-Holland,2020-49,5,49
Zeeland,2020-49,2,49
Noord-Brabant,2020-49,10,49
Limburg,2020-49,4,49
Groningen,2020-50,1,50
Friesland,2020-50,0,50
Drenthe,2020-50,0,50
Overijssel,2020-50,1,50
Flevoland,2020-50,1,50
Gelderland,2020-50,4,50
Utrecht,2020-50,4,50
Noord-Holland,2020-50,9,50
Zuid-Holland,2020-50,16,50
Zeeland,2020-50,3,50
Noord-Brabant,2020-50,2,50
Limburg,2020-50,1,50
Groningen,2020-51,1,51
Friesland,2020-51,1,51
Drenthe,2020-51,5,51
Overijssel,2020-51,3,51
Flevoland,2020-51,0,51
Gelderland,2020-51,7,51
Utrecht,2020-51,1,51
Noord-Holland,2020-51,10,51
Zuid-Holland,2020-51,9,51
Zeeland,2020-51,0,51
